,Topic_Num,Topic_Perc_Contrib,Keywords,Representative Text
0,0.0,0.9593999981880188,"year, credit, love, dad, opening, name, kid, tv, wife, ross","['opening', 'credit', 'mom', 'family', 'heirloom', 'grandmother', 'year', 'family', 'heirloom', 'mink', 'mother', 'fur', 'coat', 'animal', 'year', 'kid', 'finger', 'cent', 'hour', 'hey', 'gunther', 'flyer']"
1,1.0,0.9555000066757202,"job, box, ticket, card, boyfriend, figure, audition, part, need, dollar","['excuse', 'thank', 'time', 'service', 'ate', 'service', 'penny', 'cause', 'part', 'time', 'caterer', 'bag', 'go', 'card', 'event', 'cheryl', 'cheryl', 'sanitation', 'cheryl', 'cheryl']"
2,2.0,0.9575999975204468,"phone, number, coffee, table, work, job, heart, money, clothe, name","['job', 'catering', 'funeral', 'people', 'guest', 'money', 'equipment', 'notice', 'way', 'negativity', 'sound', 'year', 'caterer', 'money', 'money', 'food', 'supply', 'stuff', 'month', 'apartment', 'pee']"
3,3.0,0.7814000248908997,"date, door, check, cookie, message, problem, boss, fault, none, luck","['basketball', 'shoot', 'pointer', 'mean', 'pointer', 'dainty', 'phone', 'check', 'message', 'quarter', 'sock', 'side', 'reason', 'guy', 'short', 'area', 'cookie']"
4,4.0,0.9678000211715698,"fire, foot, stop, alright, law, area, size, cover, issue, goodbye","['voice', 'fire', 'alarm', 'trash', 'chute', 'fireman', 'fireman', 'time', 'dump', 'fire', 'alarm', 'trash', 'blanket', 'property', 'warrant', 'time', 'law', 'stop', 'fireman', 'reset', 'button', 'plastic', 'cover', 'reset', 'grip', 'start', 'climb', 'hurry']"
5,5.0,0.965399980545044,"birthday, movie, car, pheebs, cat, year, water, roommate, grandmother, cup","['paycheck', 'hotel', 'suite', 'lead', 'movie', 'lot', 'dollar', 'shutter', 'speed', 'penny', 'movie', 'money', 'plot', 'movie', 'year', 'wanna', 'place', 'bet', 'buck', 'car', 'car', 'honey', 'bye', 'car', 'mind', 'pus']"
6,6.0,0.6561999917030334,"call, person, marriage, machine, rachel, assistant, yesterday, candy, use, control","['school', 'wrestling', 'coach', 'talk', 'course', 'body', 'breast', 'ass', 'go', 'bladder', 'control', 'time', 'marriage', 'seeking', 'make', 'joke', 'move', 'marriage', 'deal', 'marriage', 'stink', 'marriage', 'stink', 'man', 'weight', 'woman', 'help', 'marriage', 'call', 'name', 'ross', 'cooler', 'marriage', 'love', 'person']"
7,7.0,0.9480999708175659,"baby, friend, apartment, talk, life, way, time, people, love, today","['love', 'baby', 'baby', 'honey', 'baby', 'woman', 'child', 'deserve', 'truth', 'technicality', 'salad', 'lady', 'waiter', 'fry', 'fry', 'fry', 'clam']"
8,8.0,0.96670001745224,"boy, guy, look, thought, stuff, question, book, shirt, minute, chicken","['eye', 'doctor', 'appointment', 'look', 'mess', 'thought', 'mess', 'bother', 'right', 'lot', 'route', 'story', 'problem', 'route', 'chicken', 'way', 'ask', 'series', 'question', 'relax', 'breath', 'mind', 'peanut', 'butter', 'egg', 'white', 'butter']"
9,9.0,0.8030999898910522,"room, tag, moment, point, window, fight, hell, bitch, living, copy","['country', 'passport', 'sock', 'snake', 'time', 'chandler', 'audition', 'hook', 'noon', 'equator', 'time', 'money', 'filing', 'system', 'label', 'folder', 'cabinet']"
10,10.0,0.9139000177383423,"man, minute, time, stuff, hour, help, today, plan, idea, week","['chess', 'time', 'energy', 'chance', 'desert', 'horse', 'rain', 'desert', 'name', 'pain', 'idea', 'pull', 'car', 'pill', 'food', 'container', 'man', 'work', 'change', 'plan', 'money', 'thing', 'hoping', 'money', 'week', 'money', 'people', 'movie', 'grip']"
11,11.0,0.9717000126838684,"woman, way, time, game, doctor, man, care, play, hand, mom","['man', 'city', 'believe', 'folk', 'book', 'euphoria', 'unbound', 'kid', 'bed', 'watch', 'weekend', 'way', 'mon', 'mom', 'groin', 'time', 'love', 'mom', 'book', 'love', 'book', 'plane', 'mean', 'year', 'friend', 'page', 'mistress', 'bitch', 'love', 'mom', 'blast', 'mom']"
12,12.0,0.9078999757766724,"word, relationship, eye, hair, head, ring, place, kid, store, pizza","['hope', 'lead', 'movie', 'movie', 'break', 'break', 'trip', 'loser', 'cause', 'trip', 'time', 'question', 'lie', 'trip', 'fine', 'bridge', 'sidewalk', 'break', 'hair', 'gel']"
13,13.0,0.9625999927520752,"time, night, wedding, friend, tomorrow, work, director, tonight, parent, people","['girl', 'rest', 'gang', 'dinner', 'dinner', 'hey', 'ross', 'girl', 'world', 'papa', 'time', 'ass', 'girl', 'spokesmodel', 'aerobics', 'candidate', 'era', 'era', 'work', 'dinner', 'time', 'tomorrow', 'friend', 'geek']"
14,14.0,0.9333000183105469,"sex, girl, tonight, show, line, actor, song, chair, hat, body","['deficit', 'reduction', 'subway', 'fare', 'today', 'team', 'sport', 'want', 'show', 'dive', 'place', 'shot', 'drinking']"
