,Topic_Num,Topic_Perc_Contrib,Keywords,Representative Text
0,0.0,0.6344000101089478,"robot, girl, map, floor, hockey, sit, fever, apartment, penguin, leetch","['girl', 'ross', 'damnit', 'move', 'uhh', 'girl', 'girl', 'girl', 'man', 'girl', 'girl', 'do', 'know', 'sheet', 'matter', 'apartment', 'life', 'girl', 'parallel', 'universe', 'floor', 'apartment', 'girl', 'counting', 'reason', 'step', 'birthday', 'hockey', 'ticket', 'ranger', 'penguin', 'tonight', 'garden', 'love', 'man', 'hockey', 'job', 'leetch', 'crease', 'pass', 'woman', 'ass', 'stuff', 'mon', 'sit', 'sit']"
1,1.0,0.9732999801635742,"soup, hand, miracle, audition, company, face, man, day, mom, goodbye","['thanksgiving', 'head', 'alright', 'hurry', 'wanna', 'person', 'feel', 'ear', 'park', 'hurt', 'pant', 'man', 'food', 'emory', 'day', 'call', 'toy', 'stock', 'key', 'note', 'key', 'hand', 'gunther', 'key', 'shoe', 'home', 'go', 'shoe', 'guy', 'car', 'note', 'thank', 'leather', 'seat']"
2,2.0,0.9812999963760376,"time, day, people, actor, stuff, movie, want, thank, man, ross","['eyebrow', 'exam', 'match', 'evaluation', 'exam', 'handwriting', 'boom', 'memory', 'year', 'girl', 'college', 'movie', 'director', 'movie', 'audition', 'dude', 'call', 'thank', 'day', 'audition', 'help', 'day', 'day', 'day', 'day', 'part', 'audition', 'fireman', 'phone', 'pizza', 'audition', 'time', 'pizza', 'pizza', 'hair', 'straightener', 'fire', 'candle', 'candle', 'fact', 'fire', 'school', 'uhh', 'people', 'heart', 'reason', 'block', 'time', 'worry']"
3,3.0,0.9843999743461609,"man, friend, look, ross, girl, woman, time, day, stuff, way","['customer', 'apron', 'actor', 'waiter', 'direction', 'job', 'money', 'hanging', 'feel', 'guess', 'thank', 'know', 'clearing', 'customer', 'turnover', 'gunther', 'cover', 'audition', 'color', 'man', 'part', 'check', 'lead', 'friend', 'bar', 'seat', 'seat', 'friend', 'man', 'part', 'seat', 'mean', 'coffeehouse', 'hour', 'kid', 'kid', 'drug', 'issue', 'month', 'part', 'job', 'gunther', 'charge', 'hair', 'thank', 'time', 'sliiiide', 'know', 'turn', 'slide', 'look', 'hand', 'go', 'ad', 'cost', 'buck', 'profit', 'call', 'accountant']"
4,4.0,0.982699990272522,"butt, talk, check, use, dollar, week, job, today, award, bird","['split', 'roommate', 'uncle', 'table', 'place', 'close', 'store', 'tomorrow', 'feminist', 'issue', 'people', 'course', 'bird', 'bird', 'bird', 'care', 'sink', 'come', 'play', 'butt', 'standing', 'team', 'swoop', 'paolo', 'morning', 'award', 'twin', 'brother', 'ramone', 'world', 'emerald', 'phoebs', 'check', 'check', 'check', 'check', 'page', 'page', 'page', 'ooh', 'week', 'accident', 'line', 'script', 'woman', 'hospital', 'die', 'woman', 'hospital', 'writer', 'script', 'show', 'writer']"
5,5.0,0.9740999937057495,"minute, balloon, marriage, play, hugsy, money, boat, time, producer, go","['minute', 'play', 'producer', 'minute', 'scene', 'level', 'hotness', 'pretend', 'place', 'fun', 'sqare', 'toilet', 'paper', 'go', 'coffee', 'cab', 'driver', 'number', 'line', 'part', 'takin', 'step', 'date', 'woman', 'visa', 'bill', 'money', 'ahh', 'animal', 'line', 'part', 'look', 'condescending', 'pedantic', 'friend']"
6,6.0,0.9824000000953674,"ton, secret, sex, pair, man, board, brain, chair, soap, part","['mom', 'couple', 'call', 'night', 'dollar', 'reward', 'way', 'pheebs', 'mom', 'go', 'coffee', 'unit', 'friend', 'construction', 'ton', 'storage', 'compartment', 'fit', 'man', 'roommate', 'bet', 'buck', 'board', 'handle', 'coffin', 'buck', 'price', 'unit', 'nickel', 'man', 'chair', 'look', 'unit', 'fit', 'sale', 'man', 'spade', 'minute', 'way', 'audition', 'tomorrow', 'year', 'think', 'rest', 'candy', 'bar', 'playstation', 'playstation', 'whack', 'sup', 'playstation', 'man']"
7,7.0,0.9851999878883362,"baby, scene, pheebs, hole, time, picture, rule, show, friend, line","['picture', 'baby', 'baby', 'artist', 'jerk', 'stuff', 'candle', 'foofy', 'schmoofer', 'picture', 'watering', 'stick', 'bathroom', 'towel', 'instance', 'bathroom', 'towel', 'floor', 'hook', 'alright', 'peace', 'towel', 'chip', 'summer', 'bowl', 'pot', 'holder', 'flower', 'pan', 'arrangement', 'ohh', 'love', 'bird', 'flower', 'look', 'picture', 'artist', 'baby', 'way', 'woman', 'talk', 'girlie', 'stuff', 'man', 'living', 'room', 'place', 'way', 'thank', 'deal', 'picture', 'baby', 'room', 'uhh', 'couple', 'box', 'look', 'deal', 'deal', 'other', 'soooo', 'car']"
8,8.0,0.97079998254776,"tomorrow, appointment, drama, lip, wine, bed, job, copy, night, bottle","['bottle', 'shaving', 'cream', 'meet', 'mind', 'drama', 'critic', 'people', 'actor', 'job', 'de', 'clawing', 'cat', 'home', 'news', 'stand', 'copy', 'time', 'post', 'know', 'minute', 'minute', 'hate', 'sleep', 'thank', 'foot', 'night', 'dream', 'case', 'pheebs', 'night']"
9,9.0,0.982699990272522,"opportunity, nurse, trash, body, story, hear, say, winner, month, wrap","['street', 'peeper', 'name', 'phone', 'use', 'phone', 'number', 'sidney', 'mark', 'woman', 'street', 'telescope', 'apartment', 'underwear', 'point', 'point', 'weight', 'day', 'dress', 'day', 'monocle', 'hat', 'couple', 'people', 'people', 'souvenir', 'girl', 'tape', 'rookie', 'mistake', 'friend', 'souvenir', 'food', 'place', 'sandwich', 'worry', 'thing', 'thing', 'mom', 'whoa', 'month', 'month', 'sky', 'sex', 'yesterday', 'story', 'woman', 'putty', 'go', 'sex', 'hear', 'story', 'year']"
10,10.0,0.97079998254776,"tree, control, woman, candy, work, camera, pheebs, food, lasagna, roof","['underwear', 'people', 'home', 'word', 'whitey', 'look', 'hate', 'yesterday', 'bathroom', 'woman', 'sex', 'pheebs', 'lunch', 'budget', 'adult', 'film', 'mud', 'way', 'underwear', 'video', 'camera', 'pig', 'underwear', 'place', 'closet', 'thing', 'video', 'camera', 'sex', 'addict', 'truth']"
